"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","culture_ID","comment","time","replicate"
"sample_00001",49.34512,3.38725877755486,398.58075,93.9187646201112,83.997081,15.516931006037,34.415928,7.19436979753542,15.132096,3.650687368655,2.51088,1.07186750323433,-0.02,0.46,2,50,319.05,319,159.52,372.71,186.35,16.29,3.53,2.37,59.32,407.35,88.28,"sample_00001-10","11.05.2022","t7",1,NA,NA,1
"sample_00001",51.7350303030303,1.56455072394698,308.168181818182,55.5869290196977,62.65485,8.14328910242201,23.1817090909091,2.90564881167525,16.8434590909091,1.47396867760852,1.37969696969697,0.157721369202243,-0.02,0.2,1.32,33,229.09,229,173.55,232.21,175.92,9.32,4.73,1.1,27.48,233.03,118.21,"sample_00001-14","11.05.2022","t7",1,NA,NA,1
"sample_00001",76.1116557377049,3.34516544395732,2557.71442622951,134.51236417631,196.571131967213,9.22390835293083,68.6911868852459,2.90840371140326,47.4005360655738,1.36407476660744,1.45005737704918,0.0683380391126164,0.01,0.13,4.88,122,3849.78,3850,788.89,3997.06,819.07,41.17,12.9,4.68,117.01,1029.22,322.62,"sample_00001-2","11.05.2022","t7",1,NA,NA,1
"sample_00001",58.0521538461538,6.79529319692767,1305.13430769231,385.785453507756,163.683055384615,30.40225226477,70.9403607692307,14.5626739140809,22.9259284615385,4.89740402017175,3.16746153846154,0.7668926765877,-0.05,0.73,2.6,65,238.7,239,91.81,333.91,128.43,22.85,0.37,3.57,89.16,571.36,9.19,"sample_00001-4","11.05.2022","t7",1,NA,NA,1
"sample_00002",51.7923076923077,3.13393523569624,1039.66615384615,504.921638242624,141.631771153846,48.3325105383513,56.183625,19.7768815825157,22.4137903846154,5.26063335563351,2.50296153846154,0.783530189885201,-0.15,1.08,1.04,26,89.48,83,80.11,183.04,176,17.89,2.22,4.15,103.74,447.27,55.5,"sample_00002-3","11.05.2022","t7",2,NA,NA,1
"sample_00002",54.9767407407408,7.58019201027576,596.26125,385.215465928801,97.689525,45.2744873957779,36.5124,18.0483110129687,19.64115,4.15799443426484,1.83437037037037,0.706624404416407,-0.29,0.97,2.28,54,89.74,47,20.43,428.51,187.94,32.26,0.5,5.75,112.96,547.07,12.62,"sample_00002-6","11.05.2022","t7",2,NA,NA,1
"sample_00003",67.420568627451,25.8368470988663,1075.48941176471,536.361799177008,138.100632352941,42.4927122884805,55.3562735294118,21.0521132404382,24.6878470588235,11.3032443547524,2.66150980392157,1.34515244299743,-0.13,0.67,2.12,51,230.13,230,108.55,393.54,185.63,25.28,2.35,4.38,86.51,381.5,58.8,"sample_00003-1","11.05.2022","t7",3,NA,NA,1
"sample_00003",53.5528072289157,3.01741881074857,398.00765060241,104.403235940754,75.5668518072289,17.4961085937344,28.2942759036145,6.18959312451919,17.7996036144578,2.42532123973329,1.60802409638554,0.38836662261145,0.14,0.75,3.32,83,90.68,32,9.54,483.68,145.69,15.67,0.86,3.12,78.64,391.79,21.61,"sample_00003-11","11.05.2022","t7",3,NA,NA,1
"sample_00003",54.3039555555556,5.38268411396276,1152.9135,613.871017859856,156.6945,68.201410343556,64.96974,33.8738952144075,22.45455,1.81927822048271,2.88857777777778,1.48340853639804,-0.02,0.66,1.84,45,325.28,325,176.79,435.33,236.59,24.78,2.02,3.47,79.88,619.39,50.59,"sample_00003-12","11.05.2022","t7",3,NA,NA,1
"sample_00003",62.7943725490196,9.32276539865889,1607.76661764706,699.335280316034,171.586032352941,49.6003421218491,71.2028117647059,23.4918024659062,27.6453,4.89558860413127,2.55013725490196,0.687624752888022,0.03,0.75,2.12,51,376.5,376,177.59,450.22,212.37,28.66,1,4.89,99.59,556.64,24.95,"sample_00003-16","11.05.2022","t7",3,NA,NA,1
