"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","species","comment"
"sample_00001",105.833,17.6912070062704,9254.02806,1103.53716353013,430.7353524,52.7387702937428,162.142074,21.9523070671294,72.9559548,3.40001666317919,2.2358,0.361565971314922,0.06,0.15,5,125,582.91,551,110.23,1315.56,263.11,24.21,1.56,5.04,125.96,605.15,39.12,"sample_00001-14","12.04.2022","training","Ble",NA
"sample_00001",89.07774,14.0186185616187,5202.052875,1030.68966903972,307.216719,50.3877860514215,118.87317,21.4985508418062,55.206765,6.55173260896064,2.16137,0.363474330579064,0.03,0.22,4,100,572.43,572,143.11,807.46,201.86,14.98,2.29,2.96,74.01,374.46,57.13,"sample_00001-2","12.04.2022","training","Ble",NA
"sample_00001",69.5842,14.3636114708039,226.3545,44.7147281061315,51.6206925,4.72347282148797,19.454175,2.34281671439249,14.8195575,2.37712404007752,1.34625,0.285223619565236,0.64,0.99,1.24,20,57.45,57,46.33,110.55,89.15,16.99,0.77,5.01,34.92,141.61,19.2,"sample_00001-209","12.04.2022","training","Ble",NA
"sample_00001",68.459,13.1160087202624,219.1374,50.7506532618054,52.538544,5.78614249681081,20.554074,1.89224482097983,13.472892,2.13972717763854,1.55072,0.215747444944314,0.05,1.31,1.6,25,124.41,120,75.05,293.4,183.37,157.41,1.36,31.32,252.32,1311.79,25.31,"sample_00001-96","12.04.2022","training","Ble",NA
"sample_00002",121.049648,2.58654145173596,9159.28722,234.340268768631,403.4542284,7.60720590082017,153.2704356,3.27851405435903,76.1118768,2.21087980811012,2.016176,0.0893115301590721,-0.01,0.05,5,125,1617.97,1618,323.59,1687.23,337.45,20.27,8.57,2.55,63.77,506.8,214.19,"sample_00002-1","12.04.2022","training","Ble",NA
"sample_00002",91.701472,1.54981773421597,6127.44912,169.147976126667,329.6519856,12.5762476755993,128.4113736,2.70134616173253,60.7562856,1.14826485316619,2.114344,0.0619230927793084,-0.01,0.47,5,125,607.84,497,99.39,805.54,161.11,14.46,0.28,4.35,108.77,361.58,7.02,"sample_00002-2","12.04.2022","training","Ble",NA
"sample_00002",69.060264,0.694474797424691,3843.30258,182.738582873068,283.5410832,11.0933412215082,107.6829552,4.5985472220277,45.4633236,1.61592549287747,2.372792,0.151902042713866,0.19,0.1,5,125,102.28,92,18.38,836.19,167.24,11.22,4.48,1.07,26.65,280.42,112.03,"sample_00002-3","12.04.2022","training","Ble",NA
"sample_00002",72.137336,4.25369894240826,1604.8206,107.808230993742,145.8928908,7.9528430395291,48.574728,2.13423629601642,42.0792084,2.42422816491226,1.158688,0.0917987293467476,0,0.27,5,125,558.13,558,111.63,1116.88,223.38,18.69,3.85,3.05,76.26,467.33,96.2,"sample_00002-4","12.04.2022","training","Ble",NA
"sample_00002",53.7988712871287,3.895580017567,758.899826732673,244.819509272203,99.7212252475248,17.1007378750284,34.879401980198,5.1728360514998,27.1689237623762,4.81603950805843,1.30425742574257,0.195666330954784,0.02,0.23,4.04,101,756.64,757,187.29,1207.66,298.93,24.49,2.55,3.64,91.09,612.23,63.81,"sample_00002-5","12.04.2022","training","Ble",NA
"sample_00003",96.949264,3.12451971055992,7782.52698,122.790596592007,356.1950376,7.13182713367785,138.7770084,4.18699801326609,71.4446892,1.63401920947054,1.944616,0.0995698639471382,0,0.04,5,125,1870.66,1871,374.13,1906.75,381.35,17.11,12.89,0.95,23.76,427.76,322.13,"sample_00003-1","12.04.2022","training","Ble",NA
"sample_00003",61.535896,1.15151094866841,4775.88312,235.767691600838,325.6997364,14.6206367643608,135.2770956,6.48954041618566,44.9642664,1.19092792022033,3.011536,0.179826777940651,0,0.13,5,125,1465.69,1466,293.14,1533.47,306.69,18.87,2.05,3.26,81.54,471.77,51.24,"sample_00003-10","12.04.2022","training","Ble",NA
"sample_00003",81.560656,2.48958236912241,7983.29358,345.080664524635,395.113626,16.8844027480014,157.5719892,6.8523424486089,64.6287984,3.95245752269995,2.452072,0.24414532213946,0,0.04,5,125,2573.61,2574,514.72,2606.62,521.32,26.85,17.17,2.31,57.76,671.32,429.33,"sample_00003-11","12.04.2022","training","Ble",NA
