"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","culture_ID","comment"
"sample_00001",60.272048,7.61713001140066,1799.0262,105.985554202718,195.6040812,13.0435229848997,84.7060092,8.27726471802573,27.3503952,3.63621089729596,3.174552,0.609682591348604,0.04,0.33,5,125,1077.36,1077,215.47,1652.35,330.47,26.6,2.57,4.11,102.67,665.03,64.33,"sample_00001-1","17.04.2022","t1",1,NA
"sample_00001",47.5590357142857,6.79080369695142,421.192767857143,152.637192271441,78.0277339285714,14.9962077548703,31.2644089285714,5.75136139772421,16.7600571428571,4.2762925632408,1.91853571428571,0.363764624971907,0.02,0.53,1.16,28,258.77,259,223.07,536.11,462.16,124.22,6.3,21.18,240.93,1552.7,157.43,"sample_00001-106","17.04.2022","t1",1,NA
"sample_00001",62.498027027027,11.7870617710137,1523.21594594595,598.52473225735,163.214343243243,48.9088069234513,63.6155391891892,19.5835651468731,29.1748864864865,8.42095080924694,2.24375675675676,0.642831255091507,-0.04,1.02,1.52,37,77.32,77,50.87,173.48,114.13,18.69,0.29,3.63,83.54,467.31,7.32,"sample_00001-114","17.04.2022","t1",1,NA
"sample_00001",91.1136451612903,21.9853642188743,962.985483870968,555.189994509544,136.593827419355,55.9039414206307,55.7843080645161,23.1228976955964,20.4986177419355,4.96828800506352,2.67125806451613,0.807713768102783,0.09,0.64,1.24,31,121.44,121,97.61,125.31,101.06,14.4,0.11,3.37,84.31,360.12,2.67,"sample_00001-125","17.04.2022","t1",1,NA
"sample_00001",51.4615161290323,10.180405616906,1145.52943548387,360.583928245047,153.526485483871,26.2463868645768,66.0745741935484,14.3959802403534,22.4004193548387,7.7383815707881,3.23477419354839,1.11200508720891,-0.04,0.45,1.24,31,204.02,60,48.53,409.73,330.43,30.97,2.69,6.9,172.41,774.18,67.28,"sample_00001-127","17.04.2022","t1",1,NA
"sample_00001",62.6317450980392,3.64412831191843,2641.76735294118,428.069574832004,262.315879411765,34.7784405334672,119.161164705882,17.956725897842,28.0998529411765,2.02364126945493,4.23696078431373,0.659864378816869,0.01,0.07,2.04,51,1523.52,1524,746.82,1552.48,761.02,41.08,15.51,5.07,126.85,1026.96,387.69,"sample_00001-128","17.04.2022","t1",1,NA
"sample_00001",67.2517260273973,13.9400922694024,1456.45212328767,587.158073875008,161.27127739726,51.9390150717808,62.2764061643836,20.6638423561459,29.1850767123288,7.2035811091317,2.23053424657534,1.02458772307846,-0.04,0.8,2.92,73,167.54,162,55.55,303.32,103.88,15.62,0.45,3.17,79.17,390.42,11.21,"sample_00001-13","17.04.2022","t1",1,NA
"sample_00001",50.3226944444445,3.70708024360678,702.118125,222.107724317644,127.0141875,45.0096391732885,50.225175,19.0280516797044,18.32715,3.04436245373547,2.91377777777778,1.53507288074747,-0.01,0.95,1.56,36,184.4,184,118.2,316.54,202.91,24.69,2.81,5.55,125.58,617.3,70.28,"sample_00001-152","17.04.2022","t1",1,NA
"sample_00001",59.169696969697,11.6560606807276,1265.47772727273,546.724525827008,143.146513636364,35.9100920385601,55.9052181818182,15.1987708164222,27.7960090909091,7.88945033621297,2.09163636363636,0.580700106454583,-0.13,0.68,1.32,33,128.41,128,97.28,216.9,164.32,18.29,1.27,3.98,99.46,457.28,31.78,"sample_00001-164","17.04.2022","t1",1,NA
"sample_00001",54.8526071428571,4.1573850607865,1334.46053571429,482.488712350388,168.508928571429,48.5388786120246,69.2998392857143,22.8048869490338,24.2271,4.86890346946825,2.92503571428571,1.09579801741632,-0.08,0.89,1.12,28,144.65,145,129.15,191.53,171.01,25.59,2.91,4.55,113.7,639.67,72.68,"sample_00001-168","17.04.2022","t1",1,NA
"sample_00001",67.48216,1.54406374387889,1872.11574,56.2960514017621,165.0858732,2.93698013926709,63.256464,1.28907256117247,37.6947108,1.26857669346436,1.680592,0.0797304021829695,0.02,0.16,5,125,1885.27,1885,377.05,2682.32,536.46,31.56,8.25,4.45,111.28,788.95,206.26,"sample_00001-17","17.04.2022","t1",1,NA
"sample_00001",58.7748125,5.20178976294729,2013.406875,177.199903390757,234.829125,20.4345467785798,103.7226515625,9.88296661899527,24.7729640625,1.5279423276058,4.21334375,0.582614054146233,0.01,0.07,1.28,32,782.99,783,611.71,797.38,622.95,34.23,15.48,3.65,91.21,855.85,387,"sample_00001-18","17.04.2022","t1",1,NA
"sample_00001",61.854432,1.66743698597385,1620.30456,53.7825815270344,154.0990008,3.90008770712991,58.614678,1.90364046616248,35.2062936,0.8659383850207,1.66636,0.0793986877278411,-0.01,0.39,5,125,739.67,676,135.18,2302.44,460.49,32.92,4.38,5.5,137.48,822.98,109.49,"sample_00001-19","17.04.2022","t1",1,NA
"sample_00001",59.473488,4.09719798748427,2591.07012,189.047388869811,265.1725836,10.0463551536213,120.8797668,5.13690425206827,27.3254148,2.14009208751995,4.45428,0.418205567603055,0,0.06,5,125,3156.64,3157,631.33,3301.99,660.4,34.55,14.51,3.53,88.19,863.79,362.82,"sample_00001-2","17.04.2022","t1",1,NA
"sample_00001",55.9986285714286,5.64201841274449,1050.69728571429,598.660755338829,156.618938571429,68.0355514269087,62.7044142857143,31.5927799962935,20.12769,4.39436964299037,3.03185714285714,1.26554185425609,-0.06,1.02,1.44,35,183.53,184,127.45,303.14,210.51,31.7,2.64,5.89,145.62,792.44,66.09,"sample_00001-21","17.04.2022","t1",1,NA
"sample_00001",65.9479268292683,3.88502831006571,2329.55506097561,1148.56763908965,218.862,70.9384250783954,79.3498060975609,30.4885567414447,35.2645353658537,9.38020760748818,2.27617886178862,0.710136745461345,0.16,1.29,5,123,152.7,28,5.54,702.88,140.58,84.17,0.36,9.92,138.87,1052.11,9.06,"sample_00001-22","17.04.2022","t1",1,NA
"sample_00001",67.321048,1.19566646185297,1970.13708,55.0044560408372,178.4326968,4.6234298972634,63.3483504,2.49553977119516,39.6458064,1.61508813552797,1.602472,0.121013967202404,0.02,0.38,5,125,1013.82,1014,202.76,2316.04,463.21,33.72,0.96,6.68,167.06,842.92,23.88,"sample_00001-26","17.04.2022","t1",1,NA
"sample_00001",70.9345,16.8536992978769,1400.54982954545,447.669199854179,146.484818181818,36.0216102151842,55.2605011363636,17.107027155194,32.4644318181818,9.09676508175124,1.90797727272727,1.0385086240673,-0.12,1.02,1.8,44,192.7,193,107.05,226.94,126.08,21.76,0.19,5.41,121.13,498.17,4.85,"sample_00001-27","17.04.2022","t1",1,NA
"sample_00001",59.9252,12.0708976354622,1313.38098,189.405590452199,164.5405164,18.7640002883006,70.2787428,12.448392872697,24.796044,6.54049830300697,3.158296,1.27047295628249,-0.02,0.43,5,125,620.81,621,124.16,1491.08,298.22,25.74,2.98,5.93,148.19,643.6,74.5,"sample_00001-28","17.04.2022","t1",1,NA
"sample_00001",78.6552978723404,6.57507889493051,2834.14260638298,1180.39019557393,225.371039361702,68.1289122534832,86.3715063829787,32.0573141203048,40.3137861702128,7.89932551679532,2.13125531914894,0.714483530953444,-0.02,1.11,1.92,47,123.52,124,64.33,226.17,117.8,20.94,0.22,4.97,112.53,523.52,5.56,"sample_00001-30","17.04.2022","t1",1,NA
"sample_00001",65.952936,9.64563729540877,2858.49648,217.128381664172,227.2356504,20.2873650193257,90.3830076,11.1773749601686,40.8165804,5.27136354164091,2.276496,0.502768298202481,-0.07,0.48,5,125,354.6,343,68.69,663.92,132.78,10.77,0.47,2.24,55.92,269.29,11.68,"sample_00001-32","17.04.2022","t1",1,NA
"sample_00001",53.7838157894737,3.92890289242714,872.785657894737,563.910812815015,125.866539473684,63.0954533472801,50.0664197368421,26.3094985763223,21.0598934210526,4.07694602358338,2.35152631578947,0.990425372356586,0.1,0.87,1.52,38,151.84,152,99.9,233.05,153.32,38.75,2.21,6.38,159.58,968.67,55.34,"sample_00001-34","17.04.2022","t1",1,NA
"sample_00001",51.3492777777778,3.84855521396285,501.643125,288.51286800615,92.109825,37.4552743971555,33.098625,12.6642311027358,18.555975,4.7596643121653,1.84225,0.722837202576466,0.1,1.63,1.6,36,133.61,134,83.5,292.09,182.56,63.79,0.87,11.36,161.91,531.58,21.81,"sample_00001-36","17.04.2022","t1",1,NA
