"contrast","estimate","SE","df","t.ratio","p.value","combination","system_nr_unconnected_systems"
"high SL_conn - SL_unc",-0.110647159621392,0.0378271068937813,37.6890575742974,-2.92507592325497,0.00580197087084167,1,"1001, 1010, 1014, 1018, 1022, 1028, 1035, 1039, 1042, 1046, 1055, 1056, 1063"
"high MM_conn - MM_unc",0.0468284930861608,0.0471786913098014,37.6890579493873,0.992577195044664,0.327246148273495,1,"1001, 1010, 1014, 1018, 1022, 1028, 1035, 1039, 1042, 1046, 1055, 1056, 1063"
"low SL_conn - SL_unc",-0.123324527583914,0.0356637383963481,37.6890570814499,-3.4579809388839,0.00136538468708679,1,"1001, 1010, 1014, 1018, 1022, 1028, 1035, 1039, 1042, 1046, 1055, 1056, 1063"
"low MM_conn - MM_unc",0.0591985947522287,0.0471786913098014,37.6890580998782,1.2547739903063,0.217286303567637,1,"1001, 1010, 1014, 1018, 1022, 1028, 1035, 1039, 1042, 1046, 1055, 1056, 1063"
"high SL_conn - SL_unc",-0.133766569348652,0.0385776315744935,43.8299483368417,-3.46746453551325,0.00118937271647715,2,"1004, 1007, 1015, 1016, 1023, 1030, 1032, 1039, 1041, 1046, 1055, 1056, 1063"
"high MM_conn - MM_unc",0.046828493086161,0.0481147600483157,43.8299485754569,0.973266686545604,0.335761759593138,2,"1004, 1007, 1015, 1016, 1023, 1030, 1032, 1039, 1041, 1046, 1055, 1056, 1063"
"low SL_conn - SL_unc",-0.114760468669911,0.0363713398512541,43.8299480923797,-3.15524446278968,0.00289671918277155,2,"1004, 1007, 1015, 1016, 1023, 1030, 1032, 1039, 1041, 1046, 1055, 1056, 1063"
"low MM_conn - MM_unc",0.0591985947522286,0.0481147600483157,43.8299485814996,1.23036246450742,0.22512406241103,2,"1004, 1007, 1015, 1016, 1023, 1030, 1032, 1039, 1041, 1046, 1055, 1056, 1063"
"high SL_conn - SL_unc",-0.107954670728857,0.0351437757160485,197.999923473368,-3.07180058287134,0.00242696123623098,3,"1003, 1007, 1015, 1016, 1024, 1028, 1031, 1040, 1042, 1047, 1051, 1056, 1063"
"high MM_conn - MM_unc",0.046828493086161,0.0438319893356932,197.999923374139,1.06836339841933,0.286657415583899,3,"1003, 1007, 1015, 1016, 1024, 1028, 1031, 1040, 1042, 1047, 1051, 1056, 1063"
"low SL_conn - SL_unc",-0.123831894299354,0.0331338695004228,197.999922779231,-3.7373206379585,0.000243305460979154,3,"1003, 1007, 1015, 1016, 1024, 1028, 1031, 1040, 1042, 1047, 1051, 1056, 1063"
"low MM_conn - MM_unc",0.112732104054818,0.0438319893356934,197.99992337552,2.57191393234388,0.0108465588989373,3,"1003, 1007, 1015, 1016, 1024, 1028, 1031, 1040, 1042, 1047, 1051, 1056, 1063"
"high SL_conn - SL_unc",-0.131975777523487,0.034166502820224,197.999298250781,-3.86272420732996,0.000151850019136538,4,"1005, 1006, 1012, 1018, 1024, 1027, 1035, 1038, 1041, 1047, 1052, 1056, 1063"
"high MM_conn - MM_unc",0.0468284930861613,0.0426131158858414,197.999309884009,1.09892205985624,0.273136498192572,4,"1005, 1006, 1012, 1018, 1024, 1027, 1035, 1038, 1041, 1047, 1052, 1056, 1063"
"low SL_conn - SL_unc",-0.130118154739194,0.0322124877781461,197.999281315643,-4.03936993737783,7.66278577733824e-05,4,"1005, 1006, 1012, 1018, 1024, 1027, 1035, 1038, 1041, 1047, 1052, 1056, 1063"
"low MM_conn - MM_unc",0.123075407674461,0.0426131158858414,197.999311075184,2.88820484294494,0.00430550690916276,4,"1005, 1006, 1012, 1018, 1024, 1027, 1035, 1038, 1041, 1047, 1052, 1056, 1063"
"high SL_conn - SL_unc",-0.136496465723159,0.0374908692203857,37.3438751748081,-3.64079223985927,0.000819363749538087,5,"1001, 1010, 1014, 1018, 1022, 1027, 1035, 1039, 1041, 1047, 1052, 1056, 1063"
"high MM_conn - MM_unc",0.0468284930861609,0.0467593292516773,37.3438991479338,1.00147914513725,0.323040644227789,5,"1001, 1010, 1014, 1018, 1022, 1027, 1035, 1039, 1041, 1047, 1052, 1056, 1063"
"low SL_conn - SL_unc",-0.123324527583914,0.0353467304777504,37.3437719290173,-3.48899391590242,0.00126040960453016,5,"1001, 1010, 1014, 1018, 1022, 1027, 1035, 1039, 1041, 1047, 1052, 1056, 1063"
"low MM_conn - MM_unc",0.123075407674461,0.0467593292516773,37.3438878279198,2.63210378857275,0.0122669303810303,5,"1001, 1010, 1014, 1018, 1022, 1027, 1035, 1039, 1041, 1047, 1052, 1056, 1063"
"high SL_conn - SL_unc",-0.121465533076737,0.0349917435792776,197.999999474964,-3.47126266519252,0.00063588282179784,6,"1002, 1006, 1013, 1019, 1025, 1029, 1033, 1040, 1042, 1047, 1055, 1056, 1063"
"high MM_conn - MM_unc",0.0468284930861616,0.0436423719465012,197.999999446476,1.07300522399576,0.28457477190603,6,"1002, 1006, 1013, 1019, 1025, 1029, 1033, 1040, 1042, 1047, 1055, 1056, 1063"
"low SL_conn - SL_unc",-0.138159287013924,0.032990532227264,197.99999959583,-4.18784656343756,4.23673611599497e-05,6,"1002, 1006, 1013, 1019, 1025, 1029, 1033, 1040, 1042, 1047, 1055, 1056, 1063"
"low MM_conn - MM_unc",0.105201779432303,0.0436423719465013,197.999999425631,2.41054220337209,0.0168428724969675,6,"1002, 1006, 1013, 1019, 1025, 1029, 1033, 1040, 1042, 1047, 1055, 1056, 1063"
"high SL_conn - SL_unc",-0.134465769341916,0.0345491980553696,197.999998439473,-3.8920084086009,0.000135790028502356,7,"1003, 1010, 1011, 1017, 1024, 1030, 1032, 1039, 1043, 1047, 1055, 1056, 1063"
"high MM_conn - MM_unc",0.0468284930861611,0.0430904207036632,197.999998422423,1.08674949841416,0.278468744764688,7,"1003, 1010, 1011, 1017, 1024, 1030, 1032, 1039, 1043, 1047, 1055, 1056, 1063"
"low SL_conn - SL_unc",-0.144040728942397,0.032573296306012,197.999998496679,-4.42204950918067,1.61096641434622e-05,7,"1003, 1010, 1011, 1017, 1024, 1030, 1032, 1039, 1043, 1047, 1055, 1056, 1063"
"low MM_conn - MM_unc",0.105201779432304,0.0430904207036633,197.999998422517,2.44141917656794,0.0155081905872562,7,"1003, 1010, 1011, 1017, 1024, 1030, 1032, 1039, 1043, 1047, 1055, 1056, 1063"
"high SL_conn - SL_unc",-0.123832483948442,0.0350403942295154,197.999976241057,-3.53399231576381,0.000509479153629134,8,"1003, 1006, 1012, 1020, 1024, 1030, 1034, 1037, 1043, 1047, 1055, 1056, 1063"
"high MM_conn - MM_unc",0.0468284930861611,0.0437030499681124,197.999976911644,1.07151544618349,0.285242062128913,8,"1003, 1006, 1012, 1020, 1024, 1030, 1034, 1037, 1043, 1047, 1055, 1056, 1063"
"low SL_conn - SL_unc",-0.127429389613971,0.0330364005001871,197.999983975223,-3.85724194175601,0.00015505004591508,8,"1003, 1006, 1012, 1020, 1024, 1030, 1034, 1037, 1043, 1047, 1055, 1056, 1063"
"low MM_conn - MM_unc",0.105201779432304,0.0437030499681125,197.999978536346,2.40719536757877,0.016993476409035,8,"1003, 1006, 1012, 1020, 1024, 1030, 1034, 1037, 1043, 1047, 1055, 1056, 1063"
"high SL_conn - SL_unc",-0.107954670728857,0.0351995716724154,197.999999048423,-3.0669313744365,0.00246499689390084,9,"1005, 1008, 1011, 1019, 1022, 1028, 1031, 1040, 1042, 1048, 1050, 1056, 1063"
"high MM_conn - MM_unc",0.0468284930861611,0.0439015791197906,197.999999062028,1.06666990174509,0.287419810104037,9,"1005, 1008, 1011, 1019, 1022, 1028, 1031, 1040, 1042, 1048, 1050, 1056, 1063"
"low SL_conn - SL_unc",-0.145269874869505,0.0331864744325691,197.999999041921,-4.37738197122072,1.94305441760942e-05,9,"1005, 1008, 1011, 1019, 1022, 1028, 1031, 1040, 1042, 1048, 1050, 1056, 1063"
"low MM_conn - MM_unc",0.0397700772991345,0.0439015791197905,197.999999104102,0.905891726368594,0.366094207779496,9,"1005, 1008, 1011, 1019, 1022, 1028, 1031, 1040, 1042, 1048, 1050, 1056, 1063"
"high SL_conn - SL_unc",-0.115108898334898,0.0356626507556839,197.999863473126,-3.2277157164643,0.00146048378456747,10,"1002, 1009, 1011, 1020, 1023, 1028, 1034, 1037, 1041, 1048, 1050, 1056, 1063"
"high MM_conn - MM_unc",0.0468284930861609,0.044479140210648,197.999863484007,1.05281920613543,0.293706985707549,10,"1002, 1009, 1011, 1020, 1023, 1028, 1034, 1037, 1041, 1048, 1050, 1056, 1063"
