"contrast","estimate","SE","df","t.ratio","p.value","combination","system_nr_unconnected_systems"
"high SL_conn - SL_unc",0.215974888461792,0.071262831169556,33.7342139003261,3.03068071976991,0.00466130703053891,1,"1005, 1008, 1012, 1016, 1024, 1027, 1031, 1038, 1045, 1046, 1055, 1056, 1063"
"high MM_conn - MM_unc",0.0323332348476079,0.0878060195604988,32.3855006108854,0.368234831842368,0.715094229421658,1,"1005, 1008, 1012, 1016, 1024, 1027, 1031, 1038, 1045, 1046, 1055, 1056, 1063"
"low SL_conn - SL_unc",0.251993240491206,0.0665804335086504,32.7979976741088,3.7847942287499,0.000621242336842741,1,"1005, 1008, 1012, 1016, 1024, 1027, 1031, 1038, 1045, 1046, 1055, 1056, 1063"
"low MM_conn - MM_unc",0.0165310377357367,0.0883072245471546,33.0935011668627,0.187199154095364,0.852647485189447,1,"1005, 1008, 1012, 1016, 1024, 1027, 1031, 1038, 1045, 1046, 1055, 1056, 1063"
"high SL_conn - SL_unc",0.221669045236599,0.0664836965987946,36.796461156005,3.33418652356671,0.00196094971634143,2,"1002, 1010, 1014, 1016, 1023, 1027, 1033, 1040, 1044, 1047, 1051, 1056, 1063"
"high MM_conn - MM_unc",0.022454969794517,0.0815744610164943,35.1233761145468,0.275269606623287,0.784722050496767,2,"1002, 1010, 1014, 1016, 1023, 1027, 1033, 1040, 1044, 1047, 1051, 1056, 1063"
"low SL_conn - SL_unc",0.255508282998132,0.0619903117573011,35.8131937078308,4.12174541077444,0.00021248106492526,2,"1002, 1010, 1014, 1016, 1023, 1027, 1033, 1040, 1044, 1047, 1051, 1056, 1063"
"low MM_conn - MM_unc",0.0225908208592501,0.0820852491358304,35.9238581997683,0.275211698777547,0.784730384134215,2,"1002, 1010, 1014, 1016, 1023, 1027, 1033, 1040, 1044, 1047, 1051, 1056, 1063"
"high SL_conn - SL_unc",0.247400313816279,0.0648899816269319,33.4621183306241,3.81261186416484,0.000562003877493391,3,"1001, 1007, 1014, 1018, 1025, 1027, 1034, 1040, 1043, 1047, 1055, 1056, 1063"
"high MM_conn - MM_unc",0.0340192155779021,0.0796793872180209,31.7860841723565,0.42695127015495,0.672292964740357,3,"1001, 1007, 1014, 1018, 1025, 1027, 1034, 1040, 1043, 1047, 1055, 1056, 1063"
"low SL_conn - SL_unc",0.248090135239961,0.0603120981872667,31.9130889824241,4.11343897321647,0.000255363972126949,3,"1001, 1007, 1014, 1018, 1025, 1027, 1034, 1040, 1043, 1047, 1055, 1056, 1063"
"low MM_conn - MM_unc",0.00190904715734208,0.0799406944082988,32.0837463089448,0.0238807927735977,0.981095607936819,3,"1001, 1007, 1014, 1018, 1025, 1027, 1034, 1040, 1043, 1047, 1055, 1056, 1063"
"high SL_conn - SL_unc",0.242964928027345,0.0690689628231542,32.9167143118612,3.51771502128153,0.00129435180008332,5,"1005, 1006, 1014, 1018, 1022, 1030, 1034, 1037, 1043, 1054, 1046, 1056, 1063"
"high MM_conn - MM_unc",0.0238571318914223,0.0849832514148426,31.4434531362577,0.280727455048343,0.780758378287837,5,"1005, 1006, 1014, 1018, 1022, 1030, 1034, 1037, 1043, 1054, 1046, 1056, 1063"
"low SL_conn - SL_unc",0.250674694236747,0.0646503269891686,32.1652594409527,3.87739251927904,0.000490591405859728,5,"1005, 1006, 1014, 1018, 1022, 1030, 1034, 1037, 1043, 1054, 1046, 1056, 1063"
"low MM_conn - MM_unc",0.00221774178145911,0.0859078556076304,32.7306564033725,0.0258153549029122,0.979561369918433,5,"1005, 1006, 1014, 1018, 1022, 1030, 1034, 1037, 1043, 1054, 1046, 1056, 1063"
"high SL_conn - SL_unc",0.232329459572961,0.0681346786684213,36.740954996319,3.409856245211,0.00159243930866827,6,"1002, 1009, 1015, 1018, 1021, 1030, 1032, 1036, 1044, 1054, 1046, 1056, 1063"
"high MM_conn - MM_unc",0.0250681752633875,0.0839880502362902,35.511348166182,0.298473118412217,0.767081674572219,6,"1002, 1009, 1015, 1018, 1021, 1030, 1032, 1036, 1044, 1054, 1046, 1056, 1063"
"low SL_conn - SL_unc",0.257012411468395,0.063655330888765,35.829263375828,4.03756304271693,0.000271769031641498,6,"1002, 1009, 1015, 1018, 1021, 1030, 1032, 1036, 1044, 1054, 1046, 1056, 1063"
"low MM_conn - MM_unc",-0.0031637342996238,0.0847962026082354,36.6447955147843,-0.0373098582520314,0.970440460419543,6,"1002, 1009, 1015, 1018, 1021, 1030, 1032, 1036, 1044, 1054, 1046, 1056, 1063"
"high SL_conn - SL_unc",0.239699401806119,0.0667902032701461,36.6374410739088,3.58884072918011,0.000966215503515613,7,"1001, 1009, 1015, 1018, 1022, 1030, 1032, 1039, 1041, 1054, 1048, 1056, 1063"
