"contrast","estimate","SE","df","t.ratio","p.value","combination","system_nr_unconnected_systems"
"high SL_conn - SL_unc",-0.52298248634849,0.394308732641566,31.2352639812234,-1.32632742583434,0.194348116448075,1,"1005, 1007, 1013, 1019, 1021, 1030, 1033, 1036, 1042, 1049, 1053, 1057, 1065"
"high MM_conn - MM_unc",0.214285888917614,0.494964375556045,31.597802547128,0.432931943186586,0.668005114131655,1,"1005, 1007, 1013, 1019, 1021, 1030, 1033, 1036, 1042, 1049, 1053, 1057, 1065"
"low SL_conn - SL_unc",0.303593188297459,0.370255522297084,31.0342354728256,0.819955868352622,0.418494561387762,1,"1005, 1007, 1013, 1019, 1021, 1030, 1033, 1036, 1042, 1049, 1053, 1057, 1065"
"low MM_conn - MM_unc",1.22276532721541,0.510344578446888,32.5161299799624,2.39596025676732,0.0224955809881743,1,"1005, 1007, 1013, 1019, 1021, 1030, 1033, 1036, 1042, 1049, 1053, 1057, 1065"
"high SL_conn - SL_unc",-0.25603476998143,0.393055429306615,32.3215595638992,-0.65139609045243,0.519395851988071,2,"1002, 1006, 1014, 1018, 1025, 1028, 1035, 1039, 1042, 1050, 1048, 1059, 1060"
"high MM_conn - MM_unc",0.689397120987924,0.481743512599359,31.5343766333001,1.43104598807802,0.162253219797327,2,"1002, 1006, 1014, 1018, 1025, 1028, 1035, 1039, 1042, 1050, 1048, 1059, 1060"
"low SL_conn - SL_unc",0.255253820485895,0.367301050725226,33.6112338867157,0.694944433134355,0.491866741801444,2,"1002, 1006, 1014, 1018, 1025, 1028, 1035, 1039, 1042, 1050, 1048, 1059, 1060"
"low MM_conn - MM_unc",1.33804984889592,0.498920097358891,36.0532642803728,2.68189206243463,0.0109756256002632,2,"1002, 1006, 1014, 1018, 1025, 1028, 1035, 1039, 1042, 1050, 1048, 1059, 1060"
"high SL_conn - SL_unc",-0.4635329033266,0.417706557901066,30.7999763486792,-1.10970942293989,0.275713613080668,3,"1001, 1008, 1012, 1020, 1024, 1027, 1035, 1038, 1044, 1046, 1055, 1059, 1061"
"high MM_conn - MM_unc",0.38933444583981,0.527478261159218,31.7438577808349,0.738105196950079,0.465872553135118,3,"1001, 1008, 1012, 1020, 1024, 1027, 1035, 1038, 1044, 1046, 1055, 1059, 1061"
"low SL_conn - SL_unc",0.327077764723435,0.389284902773394,29.8873453207407,0.840201514092186,0.407466849571911,3,"1001, 1008, 1012, 1020, 1024, 1027, 1035, 1038, 1044, 1046, 1055, 1059, 1061"
"low MM_conn - MM_unc",1.16054501681751,0.549533040039105,36.6711363330448,2.11187486877026,0.041572691117482,3,"1001, 1008, 1012, 1020, 1024, 1027, 1035, 1038, 1044, 1046, 1055, 1059, 1061"
"high SL_conn - SL_unc",-0.299710717831983,0.396512475852036,31.1016219625844,-0.755867056107016,0.455416017788101,4,"1002, 1010, 1013, 1016, 1024, 1029, 1031, 1037, 1045, 1050, 1049, 1059, 1063"
"high MM_conn - MM_unc",0.522869867933965,0.501297974922095,31.2334221847744,1.04303207691039,0.304939775922988,4,"1002, 1010, 1013, 1016, 1024, 1029, 1031, 1037, 1045, 1050, 1049, 1059, 1063"
"low SL_conn - SL_unc",0.189560979457157,0.37760617942758,31.8993428168882,0.502007090414981,0.619110191865298,4,"1002, 1010, 1013, 1016, 1024, 1029, 1031, 1037, 1045, 1050, 1049, 1059, 1063"
"low MM_conn - MM_unc",0.880550540002323,0.535022049549394,33.1727431755086,1.64582102876683,0.109244226815761,4,"1002, 1010, 1013, 1016, 1024, 1029, 1031, 1037, 1045, 1050, 1049, 1059, 1063"
"high SL_conn - SL_unc",-0.582427259504439,0.400057259718892,32.3253179072252,-1.45585974346196,0.155075788498207,5,"1005, 1006, 1012, 1018, 1024, 1026, 1033, 1037, 1045, 1052, 1047, 1059, 1063"
"high MM_conn - MM_unc",0.517266848780957,0.500656393716284,32.5812593835691,1.03317735531424,0.309129385585426,5,"1005, 1006, 1012, 1018, 1024, 1026, 1033, 1037, 1045, 1052, 1047, 1059, 1063"
"low SL_conn - SL_unc",0.460655696808518,0.377346037662395,32.3214985063925,1.22077788245032,0.231001401798846,5,"1005, 1006, 1012, 1018, 1024, 1026, 1033, 1037, 1045, 1052, 1047, 1059, 1063"
"low MM_conn - MM_unc",1.62751015754478,0.530627267713156,36.7027564298663,3.06714384384891,0.00404450129415474,5,"1005, 1006, 1012, 1018, 1024, 1026, 1033, 1037, 1045, 1052, 1047, 1059, 1063"
"high SL_conn - SL_unc",-0.413859483763819,0.419788906322892,36.3821605998915,-0.98587522807353,0.330705724717457,6,"1002, 1008, 1015, 1019, 1021, 1030, 1031, 1039, 1043, 1055, 1047, 1061, 1057"
"high MM_conn - MM_unc",0.0462964818829708,0.51850466831572,35.2959724120606,0.0892884571962632,0.92935740373721,6,"1002, 1008, 1015, 1019, 1021, 1030, 1031, 1039, 1043, 1055, 1047, 1061, 1057"
"low SL_conn - SL_unc",0.131591065203867,0.393143115153349,35.6135426294711,0.334715425838091,0.7398031879766,6,"1002, 1008, 1015, 1019, 1021, 1030, 1031, 1039, 1043, 1055, 1047, 1061, 1057"
"low MM_conn - MM_unc",1.40606210051652,0.520600189395666,35.7132966274626,2.70084823086356,0.0105070085485698,6,"1002, 1008, 1015, 1019, 1021, 1030, 1031, 1039, 1043, 1055, 1047, 1061, 1057"
"high SL_conn - SL_unc",-0.523502646181406,0.385887264213676,31.8997425245657,-1.35662068881218,0.184425636261004,7,"1002, 1008, 1015, 1019, 1021, 1026, 1032, 1040, 1044, 1048, 1052, 1063, 1056"
"high MM_conn - MM_unc",-0.0412672931128559,0.480367735383065,31.5671860572489,-0.0859077120988312,0.932082366146913,7,"1002, 1008, 1015, 1019, 1021, 1026, 1032, 1040, 1044, 1048, 1052, 1063, 1056"
"low SL_conn - SL_unc",0.191992320669594,0.362188441135262,31.342511888528,0.530089585597495,0.599785429937932,7,"1002, 1008, 1015, 1019, 1021, 1026, 1032, 1040, 1044, 1048, 1052, 1063, 1056"
"low MM_conn - MM_unc",1.79098196619849,0.505293162543495,33.5786790127725,3.54444132428633,0.00118173231788626,7,"1002, 1008, 1015, 1019, 1021, 1026, 1032, 1040, 1044, 1048, 1052, 1063, 1056"
"high SL_conn - SL_unc",-0.487993509113861,0.408218116035536,36.4902481667377,-1.19542345120073,0.239632883396932,8,"1001, 1008, 1014, 1017, 1025, 1028, 1031, 1039, 1042, 1053, 1052, 1064, 1056"
"high MM_conn - MM_unc",0.305541131930597,0.504536092912817,35.3101659459085,0.605588254680907,0.548661249244314,8,"1001, 1008, 1014, 1017, 1025, 1028, 1031, 1039, 1042, 1053, 1052, 1064, 1056"
"low SL_conn - SL_unc",0.315083297197581,0.383682613097043,36.3358138231105,0.821208171655899,0.416883351569853,8,"1001, 1008, 1014, 1017, 1025, 1028, 1031, 1039, 1042, 1053, 1052, 1064, 1056"
"low MM_conn - MM_unc",1.90835052835863,0.506924806518017,36.2437572186504,3.76456331160191,0.000591547940563293,8,"1001, 1008, 1014, 1017, 1025, 1028, 1031, 1039, 1042, 1053, 1052, 1064, 1056"
"high SL_conn - SL_unc",-0.694134100652313,0.409962390024661,36.8727433699447,-1.6931653184346,0.0988576768077731,9,"1005, 1007, 1014, 1018, 1021, 1028, 1032, 1040, 1041, 1050, 1048, 1064, 1061"
"high MM_conn - MM_unc",0.225925729311349,0.50680069422087,35.8395052450373,0.445788121223229,0.658431797448148,9,"1005, 1007, 1014, 1018, 1021, 1028, 1032, 1040, 1041, 1050, 1048, 1064, 1061"
