"contrast","estimate","SE","df","t.ratio","p.value","combination","system_nr_unconnected_systems"
"high SL_conn - SL_unc",-34.245382318986,10.5665934201862,33.2530229379618,-3.2409103821071,0.00270760239945414,1,"1003, 1007, 1014, 1020, 1021, 1030, 1033, 1036, 1044, 1046, 1053, 1056, 1063"
"high MM_conn - MM_unc",13.4304125360101,13.1788574412256,33.253022935197,1.01908777721486,0.315518800512137,1,"1003, 1007, 1014, 1020, 1021, 1030, 1033, 1036, 1044, 1046, 1053, 1056, 1063"
"low SL_conn - SL_unc",-21.4482265600291,9.96227981527308,33.2530229304655,-2.15294359902911,0.0386707841053068,1,"1003, 1007, 1014, 1020, 1021, 1030, 1033, 1036, 1044, 1046, 1053, 1056, 1063"
"low MM_conn - MM_unc",39.6559730743825,13.1788574412256,33.2530228872957,3.00906002293737,0.00496856428036507,1,"1003, 1007, 1014, 1020, 1021, 1030, 1033, 1036, 1044, 1046, 1053, 1056, 1063"
"high SL_conn - SL_unc",-28.8621944669691,10.5758801714367,33.1490804241073,-2.72905838560085,0.0100859880904911,2,"1002, 1008, 1015, 1016, 1024, 1028, 1031, 1039, 1042, 1046, 1053, 1056, 1063"
"high MM_conn - MM_unc",13.4304125360088,13.1904400550307,33.149080420524,1.0181929094084,0.315960357641894,2,"1002, 1008, 1015, 1016, 1024, 1028, 1031, 1039, 1042, 1046, 1053, 1056, 1063"
"low SL_conn - SL_unc",-21.4482265600291,9.97103544831896,33.1490804076122,-2.15105308482732,0.0388548596010908,2,"1002, 1008, 1015, 1016, 1024, 1028, 1031, 1039, 1042, 1046, 1053, 1056, 1063"
"low MM_conn - MM_unc",39.6559730743825,13.1904400550308,33.149080380301,3.00641774716666,0.00501110172649642,2,"1002, 1008, 1015, 1016, 1024, 1028, 1031, 1039, 1042, 1046, 1053, 1056, 1063"
"high SL_conn - SL_unc",-32.9051156865368,10.5893881451813,33.4403189442785,-3.1073670390966,0.003836598444847,3,"1004, 1008, 1012, 1016, 1025, 1029, 1035, 1037, 1043, 1047, 1051, 1056, 1063"
"high MM_conn - MM_unc",13.4304125360086,13.207287458278,33.4403189204725,1.01689408808852,0.316505043208998,3,"1004, 1008, 1012, 1016, 1025, 1029, 1035, 1037, 1043, 1047, 1051, 1056, 1063"
