culture_ID,system_nr,replicate,disturbance,disturbance_volume,patch_size,patch_size_volume,metaecosystem,metaecosystem_type,eco_metaeco_type,water_add_after_t2,water_add_after_t3,water_add_after_t4,water_add_after_t5,water_add_after_t6
1,1,1,low,5.25,S,7.5,no,,S,2.5,2.5,1,1.5,1.5
2,2,2,low,5.25,S,7.5,no,,S,3,1.5,1,2,1.5
3,3,3,low,5.25,S,7.5,no,,S,1,2,1.5,1,2
4,4,4,low,5.25,S,7.5,no,,S,2,1,1,1.5,1.5
5,5,5,low,5.25,S,7.5,no,,S,3,1,1,1,1.5
6,6,1,low,5.25,M,22.5,no,,M,3,1,1,1.5,1.5
7,7,2,low,5.25,M,22.5,no,,M,1.5,2,1.5,1.5,1
8,8,3,low,5.25,M,22.5,no,,M,0.5,2.5,1,1.5,1.5
9,9,4,low,5.25,M,22.5,no,,M,2,2,1,1.5,1
10,10,5,low,5.25,M,22.5,no,,M,2.5,1,1.5,1.5,1.5
11,11,1,low,5.25,L,37.5,no,,L,4.5,2,1.5,1.5,1.5
12,12,2,low,5.25,L,37.5,no,,L,3.5,2.5,1,1.5,1.5
13,13,3,low,5.25,L,37.5,no,,L,2.5,1.5,1,1.5,1.5
14,14,4,low,5.25,L,37.5,no,,L,3.5,2.5,0.5,1.5,1.5
15,15,5,low,5.25,L,37.5,no,,L,2,2,1.5,1.5,1.5
16,16,1,low,5.25,S,7.5,yes,S_S,S (S_S),2,2,0.5,1,1
17,16,1,low,5.25,S,7.5,yes,S_S,S (S_S),2,2,0.5,1,1
18,17,2,low,5.25,S,7.5,yes,S_S,S (S_S),2.5,1,1,NA,1.5
19,17,2,low,5.25,S,7.5,yes,S_S,S (S_S),1.5,1,1.5,1.5,1
20,18,3,low,5.25,S,7.5,yes,S_S,S (S_S),2,2,1,1,1
21,18,3,low,5.25,S,7.5,yes,S_S,S (S_S),2,1,0.5,1,1.5
22,19,4,low,5.25,S,7.5,yes,S_S,S (S_S),1,2,0.5,1.5,0.5
23,19,4,low,5.25,S,7.5,yes,S_S,S (S_S),2.5,3,1,0.5,2
24,20,5,low,5.25,S,7.5,yes,S_S,S (S_S),1.5,1,1,1.5,0.5
25,20,5,low,5.25,S,7.5,yes,S_S,S (S_S),2,2.5,0.5,1.5,1
26,21,1,low,5.25,M,22.5,yes,M_M,M (M_M),3.5,2.5,1,1,0.5
27,21,1,low,5.25,M,22.5,yes,M_M,M (M_M),4,2.5,0.5,1.5,1.5
28,22,2,low,5.25,M,22.5,yes,M_M,M (M_M),2.5,2,1,1,1
29,22,2,low,5.25,M,22.5,yes,M_M,M (M_M),2.5,1,1,1.5,1
