culture_ID,system_nr,treatment_replicate,disturbance,disturbance_volume,patch_size,patch_size_volume,metaecosystem,metaecosystem_type,eco_metaeco_type
1,1,1,low,5.25,S,7.5,no,,S
2,2,2,low,5.25,S,7.5,no,,S
3,3,3,low,5.25,S,7.5,no,,S
4,4,4,low,5.25,S,7.5,no,,S
5,5,5,low,5.25,S,7.5,no,,S
6,6,1,low,5.25,M,22.5,no,,M
7,7,2,low,5.25,M,22.5,no,,M
8,8,3,low,5.25,M,22.5,no,,M
9,9,4,low,5.25,M,22.5,no,,M
10,10,5,low,5.25,M,22.5,no,,M
11,11,1,low,5.25,L,37.5,no,,L
12,12,2,low,5.25,L,37.5,no,,L
13,13,3,low,5.25,L,37.5,no,,L
14,14,4,low,5.25,L,37.5,no,,L
15,15,5,low,5.25,L,37.5,no,,L
16,16,1,low,5.25,S,7.5,yes,S_S,S (S_S)
17,16,1,low,5.25,S,7.5,yes,S_S,S (S_S)
18,17,2,low,5.25,S,7.5,yes,S_S,S (S_S)
19,17,2,low,5.25,S,7.5,yes,S_S,S (S_S)
20,18,3,low,5.25,S,7.5,yes,S_S,S (S_S)
21,18,3,low,5.25,S,7.5,yes,S_S,S (S_S)
22,19,4,low,5.25,S,7.5,yes,S_S,S (S_S)
23,19,4,low,5.25,S,7.5,yes,S_S,S (S_S)
24,20,5,low,5.25,S,7.5,yes,S_S,S (S_S)
25,20,5,low,5.25,S,7.5,yes,S_S,S (S_S)
26,21,1,low,5.25,M,22.5,yes,M_M,M (M_M)
27,21,1,low,5.25,M,22.5,yes,M_M,M (M_M)
28,22,2,low,5.25,M,22.5,yes,M_M,M (M_M)
29,22,2,low,5.25,M,22.5,yes,M_M,M (M_M)
30,23,3,low,5.25,M,22.5,yes,M_M,M (M_M)
31,23,3,low,5.25,M,22.5,yes,M_M,M (M_M)
32,24,4,low,5.25,M,22.5,yes,M_M,M (M_M)
33,24,4,low,5.25,M,22.5,yes,M_M,M (M_M)
34,25,5,low,5.25,M,22.5,yes,M_M,M (M_M)
35,25,5,low,5.25,M,22.5,yes,M_M,M (M_M)
36,26,1,low,5.25,L,37.5,yes,L_L,L (L_L)
37,26,1,low,5.25,L,37.5,yes,L_L,L (L_L)
38,27,2,low,5.25,L,37.5,yes,L_L,L (L_L)
39,27,2,low,5.25,L,37.5,yes,L_L,L (L_L)
40,28,3,low,5.25,L,37.5,yes,L_L,L (L_L)
41,28,3,low,5.25,L,37.5,yes,L_L,L (L_L)
42,29,4,low,5.25,L,37.5,yes,L_L,L (L_L)
43,29,4,low,5.25,L,37.5,yes,L_L,L (L_L)
44,30,5,low,5.25,L,37.5,yes,L_L,L (L_L)
45,30,5,low,5.25,L,37.5,yes,L_L,L (L_L)
46,31,1,low,5.25,S,7.5,yes,S_L,S (S_L)
47,31,1,low,5.25,L,37.5,yes,S_L,L (S_L)
48,32,2,low,5.25,S,7.5,yes,S_L,S (S_L)
49,32,2,low,5.25,L,37.5,yes,S_L,L (S_L)
50,33,3,low,5.25,S,7.5,yes,S_L,S (S_L)
51,33,3,low,5.25,L,37.5,yes,S_L,L (S_L)
52,34,4,low,5.25,S,7.5,yes,S_L,S (S_L)
53,34,4,low,5.25,L,37.5,yes,S_L,L (S_L)
54,35,5,low,5.25,S,7.5,yes,S_L,S (S_L)
55,35,5,low,5.25,L,37.5,yes,S_L,L (S_L)
56,36,1,high,6.75,S,7.5,no,,S
57,37,2,high,6.75,S,7.5,no,,S
58,38,3,high,6.75,S,7.5,no,,S
59,39,4,high,6.75,S,7.5,no,,S
60,40,5,high,6.75,S,7.5,no,,S
61,41,1,high,6.75,M,22.5,no,,M
62,42,2,high,6.75,M,22.5,no,,M
63,43,3,high,6.75,M,22.5,no,,M
64,44,4,high,6.75,M,22.5,no,,M
65,45,5,high,6.75,M,22.5,no,,M
66,46,1,high,6.75,L,37.5,no,,L
67,47,2,high,6.75,L,37.5,no,,L
68,48,3,high,6.75,L,37.5,no,,L
69,49,4,high,6.75,L,37.5,no,,L
70,50,5,high,6.75,L,37.5,no,,L
71,51,1,high,6.75,S,7.5,yes,S_S,S (S_S)
72,51,1,high,6.75,S,7.5,yes,S_S,S (S_S)
73,52,2,high,6.75,S,7.5,yes,S_S,S (S_S)
74,52,2,high,6.75,S,7.5,yes,S_S,S (S_S)
75,53,3,high,6.75,S,7.5,yes,S_S,S (S_S)
76,53,3,high,6.75,S,7.5,yes,S_S,S (S_S)
77,54,4,high,6.75,S,7.5,yes,S_S,S (S_S)
78,54,4,high,6.75,S,7.5,yes,S_S,S (S_S)
79,55,5,high,6.75,S,7.5,yes,S_S,S (S_S)
80,55,5,high,6.75,S,7.5,yes,S_S,S (S_S)
81,56,1,high,6.75,M,22.5,yes,M_M,M (M_M)
82,56,1,high,6.75,M,22.5,yes,M_M,M (M_M)
83,57,2,high,6.75,M,22.5,yes,M_M,M (M_M)
84,57,2,high,6.75,M,22.5,yes,M_M,M (M_M)
85,58,3,high,6.75,M,22.5,yes,M_M,M (M_M)
86,58,3,high,6.75,M,22.5,yes,M_M,M (M_M)
87,59,4,high,6.75,M,22.5,yes,M_M,M (M_M)
88,59,4,high,6.75,M,22.5,yes,M_M,M (M_M)
89,60,5,high,6.75,M,22.5,yes,M_M,M (M_M)
90,60,5,high,6.75,M,22.5,yes,M_M,M (M_M)
91,61,1,high,6.75,L,37.5,yes,L_L,L (L_L)
92,61,1,high,6.75,L,37.5,yes,L_L,L (L_L)
93,62,2,high,6.75,L,37.5,yes,L_L,L (L_L)
94,62,2,high,6.75,L,37.5,yes,L_L,L (L_L)
95,63,3,high,6.75,L,37.5,yes,L_L,L (L_L)
96,63,3,high,6.75,L,37.5,yes,L_L,L (L_L)
97,64,4,high,6.75,L,37.5,yes,L_L,L (L_L)
98,64,4,high,6.75,L,37.5,yes,L_L,L (L_L)
99,65,5,high,6.75,L,37.5,yes,L_L,L (L_L)
100,65,5,high,6.75,L,37.5,yes,L_L,L (L_L)
101,66,1,high,6.75,S,7.5,yes,S_L,S (S_L)
102,66,1,high,6.75,L,37.5,yes,S_L,L (S_L)
103,67,2,high,6.75,S,7.5,yes,S_L,S (S_L)
104,67,2,high,6.75,L,37.5,yes,S_L,L (S_L)
105,68,3,high,6.75,S,7.5,yes,S_L,S (S_L)
106,68,3,high,6.75,L,37.5,yes,S_L,L (S_L)
107,69,4,high,6.75,S,7.5,yes,S_L,S (S_L)
108,69,4,high,6.75,L,37.5,yes,S_L,L (S_L)
109,70,5,high,6.75,S,7.5,yes,S_L,S (S_L)
110,70,5,high,6.75,L,37.5,yes,S_L,L (S_L)
