"","file","date","time_point","culture_ID","comment","time","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","25.04.22","t3",1,NA,13,6.26,0.181976744186047,6972.89958,202.700569186047,64.470110314959,34.5994303839964,29.7175116140142,15.401305963482,264.241052515777,165.75125293478,158.184375,179.299779288533,0.9675,0.00215116279069767,0.027906976744186,0.0142441860465116,0,0,0,0.00116279069767442,0.00383720930232558,0.00575581395348837,0,0
"2","sample_00002","25.04.22","t3",2,NA,13,3.606,0.104825581395349,9087.96915,264.185149709302,78.1575367678973,31.4823461419115,39.5342605624506,13.1027612521181,279.17517284842,206.652645005086,160.21125,207.445606735762,0.793125,0.0279651162790698,0.0717441860465116,0.0390116279069768,0,0.0155232558139535,0,0.0302906976744186,0,0.0205232558139535,0,0
"3","sample_00003","25.04.22","t3",3,NA,13,21.098,0.613313953488372,22260.22641,647.09960494186,86.0443059234936,39.6220424120934,37.4003463591463,15.2787428353742,226.978081227751,162.476838257877,158.364166666667,131.762074499564,0.595277777777778,0.0111046511627907,0.103372093023256,0,0.0173255813953488,0,0,0.0237790697674419,0,0.0022093023255814,0,0
"4","sample_00004","25.04.22","t3",4,NA,13,28.414,0.825988372093023,27538.61652,800.541177906977,67.6227102265525,28.0859710124335,32.6315085971245,13.6200418541362,251.826686384465,157.257697249335,144.959545454545,182.661278573921,0.789090909090909,0.00174418604651163,0.0486627906976744,0.023953488372093,0.00284883720930233,0,0,0,0,0.00151162790697674,0,0
"5","sample_00005","25.04.22","t3",5,NA,13,12.25,0.356104651162791,11075.788125,321.97058502907,111.589070959497,38.9415313776029,49.3975605389739,15.6055628843429,304.920054137179,184.74103658888,201.364074074074,151.130557040014,0.576296296296296,0.0086046511627907,0.072093023255814,0,0,0,0,0.0115697674418605,0.0148837209302326,0.00383720930232558,0,0
"6","sample_00006","25.04.22","t3",6,NA,13,14.128,0.410697674418605,14681.81214,426.796864534884,86.5818761218356,45.8385426684416,37.306619150946,15.2003958533393,217.015348995062,147.980562835321,149.230476190476,141.843383104094,0.592063492063492,0.0388372093023256,0.141627906976744,0,0.00261627906976744,0.0107558139534884,0,0.00232558139534884,0.0174418604651163,0.01,0.00877906976744186,0
"7","sample_00007","25.04.22","t3",7,NA,13,6.116,0.177790697674419,12914.54118,375.42270872093,83.0836482898293,34.552772714401,36.1786453191752,12.880680566565,224.031019064163,126.308889134,143.231470588235,117.592211048596,0.642647058823529,0.0280232558139535,0.160290697674419,0.0112209302325581,0.0102906976744186,0.0202906976744186,0,0.00116279069767442,0.0108720930232558,0.0036046511627907,0.00697674418604651,0
"8","sample_00008","25.04.22","t3",8,NA,13,19.414,0.564360465116279,16369.202925,475.848922238372,65.756635034416,27.1642760676396,34.5135423485234,10.5757523262753,180.727018060595,127.682490720793,92.5834782608696,118.412831824363,0.804347826086957,0.0178488372093023,0.175813953488372,0.00726744186046512,0.0047093023255814,0.00912790697674419,0,0.00063953488372093,0.0102906976744186,0.00162790697674419,0,0
"9","sample_00009","25.04.22","t3",9,NA,13,20.674,0.600988372093023,16983.21411,493.698084593023,80.6221349903805,27.2646590692466,36.2690183705628,8.59381180397254,212.086642081411,108.926032833597,140.66935483871,121.750365197836,0.681612903225806,0.00802325581395349,0.15453488372093,0.00877906976744186,0,0.00377906976744186,0,0.00924418604651163,0.0122093023255814,0.00284883720930233,0,0
"10","sample_00010","25.04.22","t3",10,NA,13,23.386,0.679825581395349,21941.09937,637.822656104651,90.5434999489903,47.0980658937352,38.1718893134927,11.09048291832,222.766371053183,134.889323697491,146.791518987342,124.977545994436,0.66126582278481,0.0112209302325581,0.159186046511628,0,0.00482558139534884,0.0215697674418605,0.00203488372093023,0,0.0157558139534884,0.0109883720930233,0.032906976744186,0
