"file","date","time","time_point","culture_ID","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean"
"sample_00001","21.04.22",13,"t2",1,NA,31.472,0.914883720930233,107659.18656,3129.62751627907,85.0318952659413,46.2366431712592,36.9235962193198,17.3206410519296,233.347866662342,121.729431781231,127.019347826087,103.713128975012,0.669565217391304
"sample_00002","21.04.22",13,"t2",2,NA,58.144,1.69023255813953,182547.88398,5306.62453430233,89.7556366917668,45.5117155432586,35.2871600815134,14.5582489787711,248.378716337547,171.435073659675,187.703333333333,180.539300286091,0.505119047619048
"sample_00003","21.04.22",13,"t2",3,NA,25.352,0.736976744186047,85109.68566,2474.11876918605,85.5293549256199,43.7193587251212,36.8996017784137,15.1080208500645,220.531065260209,122.488454620069,117.557222222222,106.235994911897,0.582777777777778
"sample_00004","21.04.22",13,"t2",4,NA,26.424,0.768139534883721,87668.47566,2548.5021994186,93.2017638955744,27.9392896803171,41.3980443806484,11.9501739243727,321.308135986797,169.557720735441,213.108918918919,172.2086660741,0.408378378378378
"sample_00005","21.04.22",13,"t2",5,NA,34.816,1.01209302325581,119697.17814,3479.56913197674,92.0194135772217,51.0956140591457,36.3142713906846,15.2639266730129,259.820042653515,183.573206329184,176.768846153846,184.982071676635,0.626730769230769
"sample_00006","21.04.22",13,"t2",6,NA,31.848,0.925813953488372,174759.4521,5080.21663081395,120.831550153452,76.3588485233521,44.5535079125278,17.7156276383221,241.77451801066,162.129373821052,169.600476190476,170.506215192526,0.517619047619048
"sample_00007","21.04.22",13,"t2",7,NA,31.888,0.926976744186047,174323.40804,5067.54093139535,122.798389756116,94.6175080917015,44.7986013028937,18.179064415275,311.135247886473,196.949972783598,222.498863636364,198.257646665821,0.442727272727273
"sample_00008","21.04.22",13,"t2",8,NA,37.44,1.08837209302326,101881.30752,2961.66591627907,77.3012112274496,51.7112860989742,36.7797632423567,21.1893301310469,267.863044906222,235.280842125863,200.313396226415,236.868881954223,0.480188679245283
"sample_00009","21.04.22",13,"t2",9,NA,39.744,1.1553488372093,189409.77144,5506.09800697674,96.4264002992154,51.3319236939724,45.506120117957,19.6910571626299,251.099008019699,184.631137914839,122.14813559322,160.01987733721,0.676101694915254
"sample_00010","21.04.22",13,"t2",10,NA,31.384,0.912325581395349,143214.8202,4163.22151744186,95.6611707730153,58.0199185500454,44.4595415689612,18.3861234934651,251.486262793778,167.053875574935,104.695454545455,137.729051915887,0.743181818181818
"sample_00011","21.04.22",13,"t2",11,NA,35.896,1.04348837209302,128078.85564,3723.22254767442,90.7236452468475,42.2561375459578,39.344095829817,13.510096135792,316.853944610654,189.854383924558,214.195714285714,213.72744944399,0.574489795918367
"sample_00012","21.04.22",13,"t2",12,NA,29.456,0.856279069767442,100708.59438,2927.57541802326,86.1123868015506,54.5365702228773,41.5292551342879,18.89321324116,285.451421355044,172.684576541507,189.713333333333,183.340320461751,0.499487179487179
"sample_00013","21.04.22",14,"t2",13,NA,34.64,1.00697674418605,146782.56078,4266.93490639535,95.3225800201789,57.7306865427455,43.2195000299587,21.3448021710442,303.095375180748,176.039445645361,176.644634146341,171.813327351192,0.567073170731707
"sample_00014","21.04.22",14,"t2",14,NA,34.696,1.00860465116279,126533.21526,3678.29114127907,89.2166665013615,47.3202515404352,42.9223076498897,15.3328806568647,273.120948561822,208.536223143885,138.053962264151,185.297276551654,0.657358490566038
"sample_00015","21.04.22",14,"t2",15,NA,25.12,0.730232558139535,120309.18822,3497.36012267442,103.820156548569,70.87985785024,44.7825338195074,19.6624904901995,295.161878840794,175.188532279805,177.754166666667,181.903881610591,0.613333333333333
"sample_00016","21.04.22",14,"t2",16,NA,23.44,0.681395348837209,94672.34316,2752.10299883721,102.844854301148,38.5737610092102,44.611607083814,12.878080902525,291.626966753186,222.399452925539,166.577222222222,194.445908506506,0.607222222222222
"sample_00017","21.04.22",14,"t2",17,NA,33.88,0.984883720930233,105246.83808,3059.50110697674,86.8460183471372,54.7248185312233,38.2305549462777,14.6689427261319,274.927006011817,221.198355565052,196.202173913043,223.12198594703,0.599565217391304
"sample_00018","21.04.22",14,"t2",18,NA,26.784,0.778604651162791,96813.32868,2814.34095,101.288719399631,61.2571452983285,40.0039976022975,12.6414400433517,238.879726412742,143.760775741589,140.213823529412,148.24797054188,0.498529411764706
"sample_00019","21.04.22",14,"t2",19,NA,30.104,0.875116279069767,94033.30176,2733.52621395349,86.5584469859013,39.597349350875,35.9084651446373,15.8678177652935,260.51995017776,149.624469252614,137.521162790698,144.817773215486,0.63
"sample_00020","21.04.22",14,"t2",20,NA,23.736,0.69,110956.87638,3225.49059244186,92.5945884161069,65.1370040570995,39.7290794554052,21.7555417250885,241.790109936659,171.265001317077,154.555161290323,148.336726849668,0.51741935483871
"sample_00021","21.04.22",14,"t2",21,NA,34.584,1.0053488372093,95679.32544,2781.37573953488,79.481746787645,47.5934450369083,35.0081657161409,18.6713678459236,282.704356773285,225.422673730932,185.88652173913,230.203374675693,0.590869565217391
