"","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet","class.error"
"Ble",113,3,0,1,1,0,0,1,6,3,0,0.1171875
"Cep",4,184,6,2,0,3,2,0,3,4,0,0.115384615384615
"Col",5,1,135,0,2,0,0,1,1,1,0,0.0753424657534247
"Eug",5,2,0,64,0,1,0,0,4,0,1,0.168831168831169
"Eup",0,1,0,0,219,5,6,3,1,4,0,0.0836820083682008
"Lox",8,2,2,0,1,168,1,0,2,3,2,0.111111111111111
"Pau",0,0,0,0,0,0,195,21,1,2,0,0.10958904109589
"Pca",0,0,1,0,0,0,4,71,0,2,1,0.10126582278481
"Spi",1,0,0,0,0,0,0,0,138,0,0,0.00719424460431655
"Spi_te",0,0,0,0,0,0,1,1,0,87,1,0.0333333333333333
"Tet",0,0,0,0,0,0,0,0,0,0,0,NA
