"","file","date","time_point","culture_ID","comment","time","replicate","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","07.05.22","t6",1,NA,NA,1,2.16,0.0627906976744186,13495.71456,392.31728372093,94.6335393,15.5070492205319,35.4368034,6.01774157894561,243.298,123.744123222075,180.355,59.3951813421482,0.26,0,0,0,0,0,0,0,0,0,0,0
"2","sample_00002","07.05.22","t6",2,NA,NA,1,4.808,0.139767441860465,21348.05058,620.582865697674,54.2343604466501,23.7837281255829,23.3149882630273,2.4268343902341,217.040845280765,24.0688863650393,138.676666666667,105.836277491857,0.483333333333333,0,0,0,0,0,0,0,0,0,0,0
"3","sample_00003","07.05.22","t6",3,NA,NA,1,4.952,0.143953488372093,31784.50206,923.968083139535,80.9694779722235,7.7770215483764,27.9616932537259,4.4253965476769,176.305864098632,63.3078487632959,115.236,85.7584044277877,0.492,0,0,0,0,0,0,0,0,0,0,0
"4","sample_00004","07.05.22","t6",4,NA,NA,1,8.592,0.249767441860465,42128.8371,1224.67549709302,78.3969828697674,15.4387215915449,30.2181207069767,2.79097152725877,160.788767441861,62.0143500367476,102.39,121.792071991571,0.745,0,0,0,0,0,0,0,0,0,0,0
"5","sample_00005","07.05.22","t6",5,NA,NA,1,3.6,0.104651162790698,27042.86736,786.129865116279,52.2526788,NA,33.5563884,NA,618.246,NA,147.15,NA,0.32,0,0,0,0,0,0,0,0,0,0,0
"6","sample_00006","07.05.22","t6",6,NA,NA,1,3.752,0.10906976744186,25730.40492,747.976887209302,71.8185169929151,25.8335429518631,34.4786508050466,10.2133218169552,368.490212077686,302.613557825305,220.345454545455,274.8224377071,0.504545454545455,0,0,0,0,0,0,0,0,0,0,0
"7","sample_00007","07.05.22","t6",7,NA,NA,1,4,0.116279069767442,38754.5148,1126.58473255814,81.3892424904397,30.6221975905834,34.2557673290474,5.90088486396223,336.238807861564,247.385604781032,183.713636363636,162.968566556421,0.519090909090909,0,0,0,0,0,0,0,0,0,0,0
"8","sample_00008","07.05.22","t6",8,NA,NA,1,4.832,0.14046511627907,22896.5778,665.598191860465,85.5458822505484,34.1452761137991,36.9565824680752,11.2573587451648,297.540427719101,195.281608913946,181.103636363636,148.967667047096,0.360909090909091,0,0,0,0,0,0,0,0,0,0,0
"9","sample_00009","07.05.22","t6",9,NA,NA,1,3.064,0.0890697674418605,18506.21904,537.97148372093,81.3541484544883,12.9010710597365,31.8630739272581,6.96341924628687,342.06662142756,259.01633620753,201.31,218.901531858505,0.522222222222222,0,0,0,0,0,0,0,0,0,0,0
"10","sample_00010","07.05.22","t6",10,NA,NA,1,7.392,0.214883720930233,38432.3697,1117.2200494186,93.3240580422907,22.8286976538862,40.1119998479544,6.75565812723345,217.123756902671,164.00214986098,118.806,114.15990832412,0.423333333333333,0,0,0,0,0,0,0,0,0,0,0
