"file","date","time_point","culture_ID","comment","time","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","video_replicate"
"sample_00001","03.05.22","t5",1,NA,10,3.84,0.111627906976744,16256.97702,472.58654127907,107.56792598278,26.0176432875153,47.2689453639953,7.11205836751529,283.622968185358,264.720793218007,225.796,247.765236928024,0.354,1
"sample_00002","03.05.22","t5",2,NA,10,3.336,0.0969767441860465,12775.05432,371.367858139535,89.4603088612056,38.9141359193902,38.6398111241504,17.5055195844733,308.634115532314,112.043555074619,184.378,143.166467512473,0.468,1
"sample_00003","03.05.22","t5",3,NA,10,3.432,0.0997674418604651,12440.04966,361.629350581395,96.76616235,18.9916181478664,45.33145365,5.90998187102502,213.643935185185,151.028826379756,96.3825,94.0849355192778,0.3975,1
"sample_00004","03.05.22","t5",4,NA,10,3.248,0.0944186046511628,15734.85264,457.408506976744,128.175054532258,12.2877233485766,48.2113248967742,10.9851765356792,455.144532258064,339.432855989735,321.24,414.413934209103,0.16,1
"sample_00005","03.05.22","t5",5,NA,10,4.272,0.124186046511628,11544.47316,335.59515,79.6854617338462,38.1285203039494,37.9260892664128,13.8512140581468,179.504089093702,32.7859509167403,142.68,61.2451927909448,0.378333333333333,1
"sample_00006","03.05.22","t5",6,NA,10,12.232,0.355581395348837,51624.70362,1500.71812848837,107.868436502391,38.2568175931416,43.4130598217896,11.4026153572728,272.691738598754,187.36006204158,174.776666666667,116.708815841984,0.329333333333333,1
"sample_00007","03.05.22","t5",7,NA,10,7.736,0.224883720930233,30664.67058,891.41484244186,90.5177306303611,53.5306667020129,40.2642020095164,18.393482177564,329.621372235872,244.388476043644,138.547272727273,93.3823971732263,0.513636363636364,1
"sample_00008","03.05.22","t5",8,NA,10,9.392,0.273023255813953,46354.64598,1347.51877848837,110.124076238112,55.6314140885202,41.4045569993346,14.7096611168122,282.710683660078,229.309008918948,159.699230769231,165.464337923188,0.506153846153846,1
"sample_00009","03.05.22","t5",9,NA,10,11.816,0.343488372093023,51204.53718,1488.5039877907,108.275303387484,60.3975395711986,43.1784952764733,17.0227157837818,266.31800962167,168.08552429279,150.5675,125.132964708818,0.464166666666667,1
"sample_00010","03.05.22","t5",10,NA,10,9.688,0.281627906976744,38179.37754,1109.86562616279,94.2047516804848,46.9492205993954,39.9454171077666,14.0108078785056,317.025565489717,307.164200897521,189.852857142857,293.289533643898,0.493571428571429,1
"sample_00011","03.05.22","t5",11,NA,10,20.32,0.590697674418605,104336.43372,3033.03586395349,113.883600817784,53.9853072532627,47.1425010154232,15.8306784984652,243.203763065565,186.6051027246,153.091379310345,180.434692097488,0.648965517241379,1
"sample_00012","03.05.22","t5",12,NA,10,20.024,0.582093023255814,106298.6976,3090.07841860465,108.911272429222,52.8615497194735,47.9141447214671,16.4131639208928,278.232972556673,181.079792681797,167.326551724138,185.988951213235,0.541379310344828,1
"sample_00013","03.05.22","t5",13,NA,10,21.968,0.638604651162791,125292.1365,3642.21327034884,114.249119175753,57.9701304081255,45.5554915179382,19.8895700789478,261.627310292072,137.769040622286,143.668709677419,139.495828844257,0.600967741935484,1
"sample_00014","03.05.22","t5",14,NA,10,13.072,0.38,52065.86526,1513.54259476744,105.879551037736,51.2803019599429,39.7999541086792,14.0991465672393,235.079085394829,178.278703850928,183.013333333333,137.257598471251,0.327333333333333,1
"sample_00015","03.05.22","t5",15,NA,10,22.68,0.659302325581395,153824.6133,4471.64573546512,117.399926982095,74.5178899804425,50.0691125096918,19.6769772839992,309.497344618569,179.757176545326,170.300303030303,177.402226178338,0.566969696969697,1
"sample_00016","03.05.22","t5",16,NA,10,5.04,0.146511627906977,19598.23188,569.716043023256,106.586608284454,16.1295315756072,42.6331215718487,5.72164883470212,174.12758356676,40.389264484399,117.804285714286,80.5610970748584,0.4,1
"sample_00017","03.05.22","t5",17,NA,10,3,0.0872093023255814,15554.55636,452.167336046512,131.3630136,22.5567260762987,49.012344,13.6456902731145,312.206666666667,148.870695535869,159.466666666667,96.786060118869,0.343333333333333,1
"sample_00018","03.05.22","t5",18,NA,10,4.376,0.127209302325581,16687.50984,485.102030232558,103.254965356596,18.478092255842,47.462864093617,10.4595400897661,321.200706382979,342.293116858501,201.718,259.223542757983,0.524,1
"sample_00019","03.05.22","t5",19,NA,10,5.136,0.149302325581395,12515.23872,363.815079069767,75.1195069132293,23.4196567546784,41.0669553024042,14.0700602777826,346.745988015555,253.986634705193,245.522222222222,223.667290007825,0.397777777777778,1
"sample_00020","03.05.22","t5",20,NA,10,4.24,0.123255813953488,18177.38172,528.412259302326,119.821101731748,7.74996420284801,44.3372502896703,6.3536827143779,224.211596669997,30.3182726264949,180.812,64.0641039896758,0.198,1
"sample_00021","03.05.22","t5",21,NA,10,7.584,0.22046511627907,27024.23412,785.588201162791,96.8200397518883,18.8920608992631,45.0331124152709,2.88314039209517,321.159968608729,188.799343863906,231.932222222222,166.367490497526,0.314444444444444,1
"sample_00022","03.05.22","t5",22,NA,10,5.336,0.155116279069767,26814.54456,779.492574418605,119.682821227044,27.236743684256,50.678737546024,10.4367336167778,295.13911627907,186.941463586562,186.376666666667,72.6461290549377,0.226666666666667,1
"sample_00023","03.05.22","t5",23,NA,10,9.792,0.284651162790698,49724.37558,1445.47603430233,135.956799303138,67.726890729245,47.8656950733054,11.7424824233611,315.885253728096,156.141399526995,225.85,160.499409152998,0.320714285714286,1
"sample_00024","03.05.22","t5",24,NA,11,5.104,0.148372093023256,25192.40292,732.337294186046,128.209638240302,30.0812478984524,48.9748897149945,13.4828119859574,289.717008751425,185.954494488037,152.814285714286,169.091199441519,0.457142857142857,1
"sample_00025","03.05.22","t5",25,NA,11,7.592,0.220697674418605,31722.69744,922.171437209302,105.208761815607,26.4782694261245,42.2152879742744,18.260291394692,325.979120126774,167.253421304067,201.719090909091,153.184361437749,0.667272727272727,1
"sample_00026","03.05.22","t5",26,NA,11,8.648,0.251395348837209,40761.39348,1184.92422906977,107.345140608426,45.7391464218893,47.1890889885029,11.7963193631246,343.964944444444,383.280542008448,174.365,344.827523513897,0.568333333333333,1
"sample_00027","03.05.22","t5",27,NA,11,4.296,0.124883720930233,22950.24678,667.158336627907,113.752456017776,49.2095334558448,47.2381305218134,18.6812374661096,499.504601084878,380.679142738799,317.208333333333,362.214758308751,0.328333333333333,1
"sample_00028","03.05.22","t5",28,NA,11,28.816,0.837674418604651,157253.65434,4571.32716104651,121.579134365472,57.909600129523,49.3692047857107,15.0260446609262,351.406092386618,248.045343973068,230.612105263158,236.946031523863,0.429210526315789,1
"sample_00029","03.05.22","t5",29,NA,11,19.992,0.581162790697675,84556.72458,2458.04431918605,110.600670218675,34.8504589396321,44.2108112884196,12.6933147903617,176.976291024377,51.1643986930187,116.39652173913,75.7896981850973,0.355652173913043,1
"sample_00030","03.05.22","t5",30,NA,11,21.328,0.62,99140.6466,2881.99554069767,113.915985841994,37.1427331809343,48.6231810531816,12.4475122847856,268.300655816925,164.151649003811,164.111428571429,127.994451405036,0.436071428571429,1
"sample_00031","03.05.22","t5",31,NA,11,10.96,0.318604651162791,49167.87156,1429.29859186047,106.510806320571,45.7279391237658,43.5431226082395,15.765066631651,250.433453487269,193.592122822156,142.353333333333,149.45532728003,0.558,1
"sample_00032","03.05.22","t5",32,NA,11,33.512,0.974186046511628,115551.15102,3359.0450877907,89.0651090709103,50.2416759268136,41.1907347593594,14.1121685885666,186.819820631658,130.268801558895,92.7642592592593,152.734569879361,0.742962962962963,1
"sample_00033","03.05.22","t5",33,NA,11,17.776,0.516744186046512,82597.0851,2401.07805523256,107.45819188056,52.2849943766206,43.2412999273114,14.5939026166568,260.692669151451,178.546987102447,125.828,88.261276852687,0.4944,1
"sample_00034","03.05.22","t5",34,NA,11,16.928,0.492093023255814,79355.81988,2306.85522906977,108.897696871498,47.1977467064326,46.4060871452897,13.2202150286763,265.407188792594,175.894084046772,144.791153846154,163.7058193792,0.553461538461538,1
"sample_00035","03.05.22","t5",35,NA,11,17.944,0.521627906976744,87493.42818,2543.41360988372,118.450670671774,38.1682696356794,46.7290661310804,10.2539152753714,315.232894563039,195.717107971819,161.391818181818,117.15111399736,0.385454545454545,1
"sample_00036","03.05.22","t5",36,NA,11,18.816,0.546976744186046,80259.53202,2333.12593081395,108.901243104534,45.8383520055789,46.7864252438598,14.7308353277551,320.808841531585,226.089781909665,198.244230769231,184.767645764578,0.456923076923077,1
"sample_00037","03.05.22","t5",37,NA,11,23.272,0.676511627906977,94645.0494,2751.3095755814,101.413768051299,41.7638793766262,43.4550695950669,13.2733299060795,226.762570872508,148.590417142784,137.769285714286,95.1252714768529,0.454285714285714,1
"sample_00038","03.05.22","t5",38,NA,11,19.312,0.561395348837209,99450.71946,2891.00928662791,117.68015326749,57.5028511796085,48.5255184671578,15.481812664649,279.43148288324,216.809412400366,157.137916666667,212.786888816,0.617083333333333,1
"sample_00039","03.05.22","t5",39,NA,11,11.264,0.327441860465116,42902.11656,1247.15455116279,111.590461032161,52.0189513911364,46.1392145910268,14.2253844492954,290.538274070126,233.074830912786,213.495333333333,248.25123558509,0.494,1
