"","disturbance","eco_metaeco_type","time_point","day","lnRR_lower","lnRR","lnRR_upper"
"1","low","S (S_S)",0,0,0,0,0
"2","low","S (S_S)",1,4,0.155951795217902,0.22852430007129,0.309816502509816
"3","low","S (S_S)",2,8,-0.257578378638829,-0.154068014009767,-0.0569452111177071
"4","low","S (S_S)",3,12,-0.0222804658636272,0.170724041030181,0.356426335741371
"5","low","S (S_S)",4,16,-0.649900975688533,-0.510895385643915,-0.396643861173753
"6","low","S (S_S)",5,20,0.22728702399443,0.422389947925949,0.575135443447815
"7","low","S (S_S)",6,24,-0.381269388994731,-0.0850352945875796,0.133419992712783
"8","low","S (S_S)",7,28,-0.589041275254593,-0.170699882271917,0.115022834631031
"9","high","S (S_S)",0,0,0,0,0
"10","high","S (S_S)",1,4,-0.0993041020380667,0.00486338976529739,0.114238813066346
"11","high","S (S_S)",2,8,-0.104453865830837,0.0495473248477378,0.200071788245429
"12","high","S (S_S)",3,12,0.516424496991934,0.815010366940222,1.00884548966161
"13","high","S (S_S)",4,16,0.709397082824029,0.842118925787386,1.12519171903793
"14","high","S (S_S)",5,20,0.613441341995653,1.21461800674773,1.59376765941953
"15","high","S (S_S)",6,24,-0.111393393427198,0.360541732219041,0.654264232535997
"16","high","S (S_S)",7,28,0.706621890223454,0.813720115113516,1.54698593314567
"17","low","S (S_L)",0,0,0,0,0
"18","low","S (S_L)",1,4,0.00709110006908003,0.00709110006908003,0.00709110006908003
"19","low","S (S_L)",2,8,-0.0496361301604915,-0.0496361301604915,-0.0496361301604915
"20","low","S (S_L)",3,12,0.333645169359279,0.333645169359279,0.333645169359279
"21","low","S (S_L)",4,16,0.401430831386174,0.401430831386174,0.401430831386174
"22","low","S (S_L)",5,20,0.849251732491021,0.849251732491021,0.849251732491021
"23","low","S (S_L)",6,24,0.698294795986804,0.698294795986804,0.698294795986804
"24","low","S (S_L)",7,28,1.20866843339634,1.20866843339634,1.20866843339634
"25","high","S (S_L)",0,0,0,0,0
"26","high","S (S_L)",1,4,0.151958687176642,0.151958687176642,0.151958687176642
"27","high","S (S_L)",2,8,0.555687838506398,0.555687838506398,0.555687838506398
"28","high","S (S_L)",3,12,0.988344625932614,0.988344625932614,0.988344625932614
"29","high","S (S_L)",4,16,0.557455413976777,0.557455413976777,0.557455413976777
"30","high","S (S_L)",5,20,1.54258087483391,1.54258087483391,1.54258087483391
"31","high","S (S_L)",6,24,1.0545557873893,1.0545557873893,1.0545557873893
"32","high","S (S_L)",7,28,1.96343271133081,1.96343271133081,1.96343271133081
"33","low","L (L_L)",0,0,0,0,0
"34","low","L (L_L)",1,4,-0.149344336964863,0.104235714663766,0.241812319118234
"35","low","L (L_L)",2,8,0.142319166705086,0.234784698919806,0.314518733095132
"36","low","L (L_L)",3,12,-0.454386147942746,-0.365863497660785,-0.240942623502197
"37","low","L (L_L)",4,16,-0.198600246108499,-0.118565843283871,-0.0138429802082207
"38","low","L (L_L)",5,20,-0.433744635302722,-0.212200526054484,-0.0364319726882366
"39","low","L (L_L)",6,24,-0.459849351431037,-0.274630297976891,-0.0952668179501265
"40","low","L (L_L)",7,28,-0.593877999840762,-0.485217056822471,-0.352290604184022
"41","high","L (L_L)",0,0,0,0,0
"42","high","L (L_L)",1,4,-0.257362091109605,-0.133466742123799,-0.017723873972148
"43","high","L (L_L)",2,8,-0.019417988211326,0.11440615753965,0.24046175639399
"44","high","L (L_L)",3,12,-0.354024664544527,-0.134110677430708,0.108402512114973
"45","high","L (L_L)",4,16,-0.558386799877807,-0.349083321208553,-0.169011621129315
"46","high","L (L_L)",5,20,-0.498427963845646,-0.219413864495997,0.0520257830471
"47","high","L (L_L)",6,24,-0.434950580015359,-0.111928081751004,0.143741007283112
"48","high","L (L_L)",7,28,-0.222591769303061,-0.0915121809949,0.0424409594576008
"49","low","L (S_L)",0,0,0,0,0
"50","low","L (S_L)",1,4,-0.0722941072931262,-0.0722941072931262,-0.0722941072931262
"51","low","L (S_L)",2,8,0.0666298834239427,0.0666298834239427,0.0666298834239427
"52","low","L (S_L)",3,12,-0.166262651254708,-0.166262651254708,-0.166262651254708
"53","low","L (S_L)",4,16,-0.197295311870335,-0.197295311870335,-0.197295311870335
"54","low","L (S_L)",5,20,-0.209186173596375,-0.209186173596375,-0.209186173596375
"55","low","L (S_L)",6,24,-0.432400864710741,-0.432400864710741,-0.432400864710741
"56","low","L (S_L)",7,28,-0.607005523302973,-0.607005523302973,-0.607005523302973
"57","high","L (S_L)",0,0,0,0,0
"58","high","L (S_L)",1,4,-0.0102124146531675,-0.0102124146531675,-0.0102124146531675
"59","high","L (S_L)",2,8,-0.0877969663981525,-0.0877969663981525,-0.0877969663981525
"60","high","L (S_L)",3,12,-0.252976713516362,-0.252976713516362,-0.252976713516362
"61","high","L (S_L)",4,16,-0.43948666345645,-0.43948666345645,-0.43948666345645
"62","high","L (S_L)",5,20,-0.568145799427808,-0.568145799427808,-0.568145799427808
"63","high","L (S_L)",6,24,-0.201719184478925,-0.201719184478925,-0.201719184478925
"64","high","L (S_L)",7,28,-0.436460168366586,-0.436460168366586,-0.436460168366586
