"time_point","file","patch_type","culture_ID","bioarea_µm2_per_μL","indiv_per_frame","Ble_indiv_per_frame","Cep_indiv_per_frame","Spi_indiv_per_frame","Spi_te_Ble_analysis_indiv_per_frame"
0,"sample_00001","S",1,4251,29.44,0,0.344,1.56,0
0,"sample_00001","S",2,4251,29.44,0,0.344,1.56,0
0,"sample_00001","S",3,4251,29.44,0,0.344,1.56,0
0,"sample_00001","S",4,4251,29.44,0,0.344,1.56,0
0,"sample_00001","S",5,4251,29.44,0,0.344,1.56,0
0,"sample_00001","M",6,4251,29.44,0,0.344,1.56,0
0,"sample_00001","M",7,4251,29.44,0,0.344,1.56,0
0,"sample_00001","M",8,4251,29.44,0,0.344,1.56,0
0,"sample_00001","M",9,4251,29.44,0,0.344,1.56,0
0,"sample_00001","M",10,4251,29.44,0,0.344,1.56,0
0,"sample_00001","L",11,4251,29.44,0,0.344,1.56,0
0,"sample_00001","L",12,4251,29.44,0,0.344,1.56,0
0,"sample_00001","L",13,4251,29.44,0,0.344,1.56,0
0,"sample_00001","L",14,4251,29.44,0,0.344,1.56,0
0,"sample_00001","L",15,4251,29.44,0,0.344,1.56,0
0,"sample_00001","S (S_S)",16,4251,29.44,0,0.344,1.56,0
0,"sample_00001","S (S_S)",17,4251,29.44,0,0.344,1.56,0
0,"sample_00001","S (S_S)",18,4251,29.44,0,0.344,1.56,0
0,"sample_00001","S (S_S)",19,4251,29.44,0,0.344,1.56,0
0,"sample_00001","S (S_S)",20,4251,29.44,0,0.344,1.56,0
0,"sample_00001","S (S_S)",21,4251,29.44,0,0.344,1.56,0
0,"sample_00001","S (S_S)",22,4251,29.44,0,0.344,1.56,0
0,"sample_00001","S (S_S)",23,4251,29.44,0,0.344,1.56,0
0,"sample_00001","S (S_S)",24,4251,29.44,0,0.344,1.56,0
0,"sample_00001","S (S_S)",25,4251,29.44,0,0.344,1.56,0
0,"sample_00001","M (M_M)",26,4251,29.44,0,0.344,1.56,0
0,"sample_00001","M (M_M)",27,4251,29.44,0,0.344,1.56,0
0,"sample_00001","M (M_M)",28,4251,29.44,0,0.344,1.56,0
0,"sample_00001","M (M_M)",29,4251,29.44,0,0.344,1.56,0
0,"sample_00001","M (M_M)",30,4251,29.44,0,0.344,1.56,0
